Time resolution is 1 ps
Memory initialized.
Time: 588000 | PC_out: 14 | Opcode: 110 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 596000 | PC_out: 14 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 620000 | PC_out: 14 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 628000 | PC_out: 15 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 636000 | PC_out: 15 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 644000 | PC_out: 15 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 652000 | PC_out: 17 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 0 | SKZ: z | JUMP: z
Time: 660000 | PC_out: 17 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 668000 | PC_out: 17 | Opcode: 000 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 676000 | PC_out: 17 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 692000 | PC_out: 17 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 700000 | PC_out: 18 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 716000 | PC_out: 18 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 724000 | PC_out: 20 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 0 | SKZ: z | JUMP: z
Time: 732000 | PC_out: 20 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 740000 | PC_out: 20 | Opcode: 111 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 748000 | PC_out: 20 | Opcode: 100 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 1 | SKZ: z | JUMP: z
Time: 756000 | PC_out: 20 | Opcode: 100 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 0 | SKZ: z | JUMP: z
Time: 764000 | PC_out: 20 | Opcode: 100 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 796000 | PC_out: 20 | Opcode: 100 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 804000 | PC_out: 21 | Opcode: 100 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 836000 | PC_out: 21 | Opcode: 100 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 844000 | PC_out: 22 | Opcode: 100 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 852000 | PC_out: 22 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 860000 | PC_out: 22 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 868000 | PC_out: 24 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 0 | SKZ: z | JUMP: z
Time: 876000 | PC_out: 24 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 884000 | PC_out: 24 | Opcode: 000 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Se
